INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS,GAIN/LOSS LOG
Nifty Auto,11687.65,11717.95,12078.8,11692.05,11977.3,289.65,0.035
Nifty50 PR 1x Inv,244.8,244.6,246.85,244.55,246.35,1.55,0.009
Nifty50 TR 1x Inv,210.15,209.95,211.9,209.9,211.45,1.3,0.009
NIFTY SMLCAP 50,5419.5,5438.15,5488.55,5425.95,5450.95,31.45,0.008
Nifty GrowSect 15,7930.35,7955.7,8008.45,7933.15,7972.15,41.8,0.008
NIFTY SMLCAP 100,11149.3,11183.45,11276.05,11151.0,11205.35,56.05,0.007
Nifty IT,36465.3,36555.25,36794.25,36429.9,36643.85,178.55,0.007
Nifty Consumption,7366.9,7384.85,7428.15,7357.25,7393.2,26.3,0.005
NIFTY SMLCAP 250,9756.25,9788.35,9841.75,9761.9,9784.4,28.15,0.004
Nifty MNC,19644.8,19679.55,19796.65,19622.85,19700.55,55.75,0.004
NIFTY Alpha 50,33705.1,33766.85,34104.95,33670.25,33799.85,94.75,0.004
NIFTY100 Qualty30,3999.15,4006.85,4022.7,3991.05,4004.7,5.55,0.002
Nifty50 Div Point,144.46,144.46,144.46,144.46,144.46,0.0,0.0
Nifty GS 15YrPlus,2705.22,2705.73,2705.86,2704.69,2705.16,-0.06,-0.0
NIFTY200 QUALTY30,15257.9,15285.8,15316.95,15231.3,15255.7,-2.2,-0.0
Nifty GS 11 15Yr,2473.52,2473.97,2474.33,2472.56,2473.04,-0.48,-0.0
Nifty GS 4 8Yr,2483.37,2483.78,2483.78,2482.15,2482.57,-0.8,-0.0
NIFTY MIDSML 400,11184.15,11210.45,11245.3,11157.5,11178.2,-5.95,-0.001
Nifty GS Compsite,2365.08,2365.49,2365.49,2363.64,2363.81,-1.27,-0.001
Nifty GS 8 13Yr,2296.76,2297.15,2297.15,2294.99,2295.04,-1.72,-0.001
Nifty GS 10Yr,2057.31,2057.66,2057.66,2054.82,2055.02,-2.29,-0.002
Nifty GS 10Yr Cln,929.7,929.7,929.7,928.39,928.49,-1.21,-0.002
Nifty Realty,545.85,548.15,553.8,542.8,545.1,-0.75,-0.002
Nifty Next 50,44362.15,44421.2,44597.5,44191.1,44290.2,-71.95,-0.002
NIFTY MIDCAP 150,11985.45,12008.65,12041.35,11935.85,11960.8,-24.65,-0.003
Nifty Media,2317.3,2320.4,2351.2,2305.8,2311.75,-5.55,-0.003
Nifty200Momentm30,21401.55,21425.1,21567.0,21299.2,21349.25,-52.3,-0.004
Nifty Mid Liq 15,7838.85,7859.95,7894.0,7798.35,7818.85,-20.0,-0.004
Nifty Div Opps 50,3810.9,3821.9,3826.15,3795.3,3800.85,-10.05,-0.004
NIFTY MIDCAP 100,32028.3,32095.05,32199.4,31875.95,31942.55,-85.75,-0.004
Nifty Midcap 50,8965.0,8986.1,9021.85,8920.3,8940.75,-24.25,-0.004
Nifty50 Value 20,9105.3,9129.95,9135.05,9063.8,9078.4,-26.9,-0.004
NIFTY100 EQL Wgt,21499.8,21540.15,21557.2,21372.3,21413.3,-86.5,-0.006
NIFTY50 EQL Wgt,20206.65,20258.05,20270.75,20088.5,20122.55,-84.1,-0.006
Nifty 500,15592.6,15613.1,15626.65,15492.6,15525.4,-67.2,-0.006
Nifty Serv Sector,25409.0,25427.25,25445.45,25259.35,25298.4,-110.6,-0.006
Nifty100ESGSecLdr,3076.7,3079.0,3080.55,3055.8,3062.4,-14.3,-0.007
NIFTY AlphaLowVol,17723.6,17758.3,17773.8,17611.8,17638.5,-85.1,-0.007
Nifty 200,9637.35,9648.5,9652.85,9567.6,9588.5,-48.85,-0.007
NIFTY100 LowVol30,13537.8,13578.4,13579.85,13447.3,13468.05,-69.75,-0.007
Nifty 100,18401.65,18420.25,18425.8,18260.85,18301.45,-100.2,-0.008
Nifty100 Liq 15,4597.15,4604.35,4615.45,4555.6,4570.2,-26.95,-0.008
Nifty 50,18109.45,18127.05,18132.65,17958.8,17999.2,-110.25,-0.009
Nifty FMCG,39278.3,39396.4,39407.15,38951.9,39014.65,-263.65,-0.01
Nifty Metal,5624.3,5629.25,5687.5,5568.6,5586.35,-37.95,-0.01
Nifty CPSE,2347.25,2359.75,2359.75,2326.55,2330.95,-16.3,-0.01
Nifty FinSrv25 50,18927.35,18929.25,18951.3,18747.95,18784.4,-142.95,-0.011
Nifty Fin Service,18955.25,18945.0,18964.0,18768.15,18805.75,-149.5,-0.011
Nifty PSE,4117.45,4134.15,4134.6,4074.55,4081.15,-36.3,-0.013
Nifty Pvt Bank,19896.15,19898.45,19915.35,19655.2,19704.0,-192.15,-0.014
Nifty Commodities,5900.95,5916.0,5920.2,5816.0,5835.2,-65.75,-0.016
Nifty Infra,5334.0,5345.7,5350.35,5255.15,5273.8,-60.2,-0.016
Nifty50 PR 2x Lev,9694.75,9712.7,9717.95,9532.95,9575.85,-118.9,-0.018
Nifty50 TR 2x Lev,13171.3,13195.7,13202.85,12951.5,13009.75,-161.55,-0.018
Nifty Pharma,13974.35,14008.35,14016.95,13776.05,13798.8,-175.55,-0.018
Nifty Energy,24268.85,24298.35,24308.9,23856.1,23944.65,-324.2,-0.019
Nifty PSU Bank,2870.3,2876.65,2879.3,2798.75,2808.9,-61.4,-0.031

Top gainer/losers list for 161121
POONAWALLA,EQ,       193.30,       201.80,4.4
ESCORTS,EQ,      1640.50,      1629.30,-0.68
""
Top Five Nifty 50 Gainers:
SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
MARUTI,EQ,      8050.35,      7503.10,7.29
M&M,EQ,       960.30,       928.40,3.44
TATAMOTORS,EQ,       519.05,       505.45,2.69
HEROMOTOCO,EQ,      2750.90,      2693.25,2.14
TECHM,EQ,      1599.90,      1579.15,1.31
""
Top Five Nifty 50 Losers:
SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
SHREECEM,EQ,     28138.95,     29077.20,-3.23
RELIANCE,EQ,      2517.90,      2577.80,-2.32
SBIN,EQ,       495.10,       506.55,-2.26
HINDALCO,EQ,       445.60,       455.90,-2.26
TATACONSUM,EQ,       833.40,       852.55,-2.25
