,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-04-04,LUPIN,EQ,765.5,769.0,792.15,762.25,790.0,790.55,774.13,3218546,249157739344999.97,36744,1773631,0.5511
2022-03-30,LUPIN,EQ,761.5,763.65,767.0,745.4,748.0,749.1,755.39,2245552,169626186890000.0,29222,1182033,0.5264
2022-04-07,DMART,EQ,4101.9,4099.9,4244.0,4092.0,4149.9,4159.7,4193.03,979784,410826295165000.0,96822,433561,0.4425
2022-03-17,DMART,EQ,4169.55,4218.0,4239.0,4166.1,4185.05,4192.75,4199.26,608024,255324918460000.0,57728,364483,0.5995
2022-04-05,SBICARD,EQ,876.15,859.0,864.95,836.0,839.9,839.0,849.81,42706728,3629274426994999.5,174070,28202219,0.6604000000000001
2022-03-04,SBICARD,EQ,752.7,753.0,763.25,712.65,744.0,744.25,739.93,2604676,192727834165000.0,85527,1190451,0.457
2022-04-06,NTPC,EQ,149.1,150.35,155.3,148.3,153.0,153.0,153.21,52737388,807977790660000.0,277984,21985794,0.4169
2022-03-08,NTPC,EQ,130.05,130.5,135.8,130.5,133.25,133.75,133.39,28572640,381136787310000.0,238901,13228539,0.46299999999999997
2022-04-01,ACC,EQ,2151.35,2148.0,2160.0,2128.35,2150.0,2151.0,2144.96,838234,179798246020000.0,28224,518206,0.6182
2022-03-21,ACC,EQ,2122.65,2101.0,2141.75,2046.65,2056.95,2055.75,2074.19,1043891,216522474390000.0,32039,387081,0.37079999999999996
2022-04-04,HDFCAMC,EQ,2276.5,2300.0,2480.0,2288.65,2347.0,2355.0,2386.47,2091074,499028502205000.0,139133,370046,0.177
2022-03-29,HDFCAMC,EQ,2094.7,2096.2,2113.45,2084.55,2097.0,2094.05,2099.82,524815,110201592770000.0,23183,337473,0.643
2022-04-04,HDFCBANK,EQ,1506.0,1580.0,1722.1,1562.55,1654.1,1656.8,1651.17,48725485,8045397271855000.0,920761,19554980,0.40130000000000005
2022-03-02,HDFCBANK,EQ,1426.25,1386.5,1398.4,1354.4,1378.55,1374.25,1372.96,19252780,2643331665360000.0,590118,13593351,0.706
2022-04-04,HDFC,EQ,2452.3,2570.5,2933.8,2570.5,2676.0,2680.05,2721.95,34117717,9286683673140000.0,817965,15474881,0.4536
2022-03-02,HDFC,EQ,2364.5,2321.5,2321.5,2259.45,2286.2,2278.1,2285.82,8890970,2032312754045000.0,304770,6560376,0.7379000000000001
2022-04-05,ADANIPORTS,EQ,818.55,840.0,860.9,826.0,844.05,848.05,846.58,21090646,1785484449395000.0,296045,4468603,0.2119
2022-03-03,ADANIPORTS,EQ,710.3,718.8,724.6,703.0,708.0,706.7,709.72,7533817,534690872925000.0,85752,4096611,0.5438000000000001
