,SYMBOL,02-FEB-2022,03-FEB-2022,04-FEB-2022,07-FEB-2022,08-FEB-2022,09-FEB-2022,10-FEB-2022,11-FEB-2022,14-FEB-2022,15-FEB-2022,16-FEB-2022,17-FEB-2022,18-FEB-2022,V AVERAGE
39,INDUSINDBK,0.6056,0.6018,0.5999,0.6018,0.5999,0.6018,0.5999,0.6018,0.6037,0.6018,0.5999,0.6018,0.5999,0.602
3,TATAMOTORS,0.5999,0.5999,0.5999,0.5999,0.5999,0.5999,0.5999,0.5999,0.6056,0.6075,0.5999,0.5999,0.5999,0.601
19,HINDALCO,0.5197,0.5197,0.5216,0.5197,0.5197,0.5216,0.5197,0.5197,0.5235,0.5216,0.5197,0.5197,0.5197,0.52
29,TATASTEEL,0.491,0.491,0.491,0.491,0.4929,0.491,0.491,0.491,0.4967,0.491,0.491,0.491,0.491,0.492
24,BAJFINANCE,0.4776,0.4757,0.4757,0.4776,0.4757,0.4757,0.4757,0.4757,0.4776,0.4795,0.4757,0.4757,0.4757,0.476
17,ADANIPORTS,0.4662,0.4681,0.4662,0.4681,0.4662,0.4681,0.4662,0.4662,0.47,0.47,0.4681,0.4662,0.4662,0.467
42,JSWSTEEL,0.4623,0.4623,0.4623,0.4623,0.4643,0.4623,0.4643,0.4623,0.4719,0.4643,0.4623,0.4623,0.4623,0.463
46,BAJAJFINSV,0.4643,0.4604,0.4604,0.4623,0.4604,0.4604,0.4604,0.4604,0.4623,0.4643,0.4604,0.4604,0.4604,0.461
4,ONGC,0.4547,0.4566,0.4566,0.4566,0.4566,0.4566,0.4566,0.4547,0.4547,0.4566,0.4566,0.4566,0.4566,0.456
27,AXISBANK,0.4509,0.449,0.449,0.449,0.449,0.449,0.449,0.449,0.4528,0.4509,0.449,0.449,0.449,0.45
13,UPL,0.4394,0.4413,0.4394,0.4413,0.4394,0.4413,0.4394,0.4413,0.4432,0.4413,0.4413,0.4413,0.4394,0.441
15,ICICIBANK,0.4203,0.4203,0.4203,0.4222,0.4203,0.4203,0.4203,0.4222,0.426,0.4222,0.4222,0.4222,0.4203,0.421
12,SBIN,0.4184,0.4184,0.4184,0.4184,0.4184,0.4184,0.4184,0.4184,0.4241,0.4222,0.4184,0.4184,0.4184,0.419
2,M&M,0.3936,0.3955,0.3955,0.3955,0.3936,0.3936,0.3955,0.3936,0.3974,0.3974,0.3936,0.3936,0.3936,0.395
18,COALINDIA,0.3917,0.3917,0.3917,0.3917,0.3917,0.3993,0.3917,0.3917,0.3936,0.3917,0.3917,0.3917,0.3936,0.393
10,BPCL,0.3917,0.3917,0.3917,0.3917,0.3917,0.3917,0.3917,0.3917,0.3936,0.3936,0.3917,0.3917,0.3917,0.392
44,EICHERMOT,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.3917,0.384,0.384,0.384,0.385
20,KOTAKBANK,0.384,0.3821,0.3821,0.384,0.3821,0.3821,0.3821,0.384,0.3878,0.3859,0.3821,0.3821,0.3821,0.383
49,TECHM,0.3783,0.3783,0.3783,0.3783,0.3783,0.3783,0.3783,0.3802,0.3802,0.3802,0.3783,0.3783,0.3783,0.379
26,TITAN,0.3764,0.3764,0.3764,0.3783,0.3783,0.3783,0.3764,0.3783,0.3783,0.3802,0.3764,0.3764,0.3764,0.377
33,BHARTIARTL,0.3745,0.3745,0.3745,0.3745,0.3745,0.3745,0.3745,0.3745,0.3764,0.3764,0.3745,0.3745,0.3745,0.375
14,GRASIM,0.3725,0.3745,0.3725,0.3745,0.3725,0.3745,0.3745,0.3764,0.3764,0.3764,0.3725,0.3725,0.3725,0.374
1,MARUTI,0.3668,0.3668,0.3668,0.3668,0.3668,0.3706,0.3668,0.3668,0.3706,0.3687,0.3668,0.3668,0.3668,0.368
28,HDFC,0.363,0.3649,0.3611,0.363,0.3611,0.3611,0.363,0.363,0.3687,0.363,0.3611,0.363,0.3611,0.363
8,RELIANCE,0.3611,0.3611,0.3611,0.3611,0.363,0.3611,0.3611,0.3611,0.363,0.3649,0.3611,0.3611,0.3611,0.362
31,TATACONSUM,0.3592,0.3592,0.3592,0.363,0.3592,0.3592,0.3592,0.3592,0.3592,0.3592,0.3592,0.3611,0.3592,0.36
6,NTPC,0.3534,0.3534,0.3534,0.3534,0.3534,0.3534,0.3534,0.3534,0.3554,0.3534,0.3534,0.3534,0.3534,0.354
48,WIPRO,0.3515,0.3515,0.3515,0.3534,0.3515,0.3515,0.3515,0.3515,0.3534,0.3554,0.3515,0.3515,0.3515,0.352
22,SHREECEM,0.3458,0.3458,0.3458,0.3458,0.3458,0.3477,0.3458,0.3458,0.3534,0.3534,0.3458,0.3458,0.3458,0.347
30,POWERGRID,0.3439,0.3458,0.3439,0.3458,0.3458,0.3439,0.3458,0.3458,0.3477,0.3439,0.3439,0.3439,0.3439,0.345
38,SUNPHARMA,0.342,0.342,0.342,0.342,0.342,0.342,0.342,0.3439,0.3439,0.3439,0.342,0.342,0.342,0.342
50,HCLTECH,0.3439,0.342,0.3401,0.3401,0.3401,0.342,0.3401,0.342,0.342,0.342,0.3401,0.3401,0.3401,0.341
16,IOC,0.342,0.3401,0.3401,0.3401,0.3401,0.3439,0.3401,0.342,0.3458,0.342,0.342,0.3401,0.3401,0.341
47,DIVISLAB,0.342,0.3401,0.3401,0.342,0.3401,0.3401,0.3401,0.3401,0.3401,0.3401,0.342,0.3401,0.342,0.341
25,SBILIFE,0.3382,0.3401,0.3382,0.3401,0.3382,0.3382,0.3401,0.3382,0.342,0.3401,0.3382,0.3382,0.3401,0.339
32,HDFCLIFE,0.3401,0.3382,0.3382,0.3401,0.3362,0.3362,0.3362,0.3382,0.3477,0.3382,0.3382,0.3362,0.3362,0.338
34,CIPLA,0.3362,0.3362,0.3362,0.3362,0.3362,0.3362,0.3362,0.3362,0.3362,0.3401,0.3362,0.3362,0.3362,0.336
23,ITC,0.3324,0.3305,0.3305,0.3305,0.3305,0.3305,0.3305,0.3305,0.3343,0.3305,0.3305,0.3305,0.3305,0.331
35,ASIANPAINT,0.3305,0.3305,0.3324,0.3324,0.3324,0.3305,0.3305,0.3305,0.3324,0.3343,0.3305,0.3305,0.3305,0.331
11,ULTRACEMCO,0.3305,0.3305,0.3305,0.3305,0.3305,0.3305,0.3305,0.3324,0.3324,0.3324,0.3305,0.3305,0.3305,0.331
43,LT,0.3286,0.3305,0.3286,0.3305,0.3286,0.3286,0.3286,0.3286,0.3324,0.3324,0.3286,0.3286,0.3286,0.329
5,HEROMOTOCO,0.3286,0.3305,0.3286,0.3305,0.3286,0.3286,0.3286,0.3286,0.3305,0.3343,0.3286,0.3286,0.3286,0.329
7,BAJAJ-AUTO,0.3114,0.3133,0.3114,0.3133,0.3114,0.3133,0.3114,0.3114,0.3133,0.3133,0.3114,0.3114,0.3114,0.312
21,DRREDDY,0.3133,0.3114,0.3114,0.3114,0.3114,0.3114,0.3114,0.3114,0.3133,0.3114,0.3114,0.3114,0.3114,0.312
45,INFY,0.3076,0.3095,0.3076,0.3095,0.3076,0.3076,0.3095,0.3095,0.3095,0.3114,0.3076,0.3076,0.3076,0.309
9,HDFCBANK,0.3076,0.3076,0.3076,0.3114,0.3076,0.3095,0.3076,0.3076,0.3095,0.3095,0.3076,0.3076,0.3076,0.308
36,BRITANNIA,0.2847,0.2866,0.2847,0.2885,0.2847,0.2866,0.2847,0.2866,0.2866,0.2866,0.2847,0.2847,0.2847,0.286
37,TCS,0.2789,0.277,0.277,0.2789,0.2789,0.277,0.277,0.2789,0.2789,0.2789,0.277,0.277,0.277,0.278
40,HINDUNILVR,0.2694,0.2694,0.2675,0.2694,0.2675,0.2694,0.2675,0.2694,0.2694,0.2713,0.2675,0.2694,0.2675,0.269
41,NESTLEIND,0.2675,0.2675,0.2675,0.2675,0.2675,0.2675,0.2675,0.2675,0.2675,0.2694,0.2675,0.2675,0.2675,0.268
