INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
Nifty 50,     17873.60,     17977.60,     18123.00,     17905.90,     18102.75,229.15
NIFTY50 EQL Wgt,     20008.35,     20158.70,     20239.45,     20030.70,     20210.55,202.2
NIFTY100 EQL Wgt,     21272.15,     21426.35,     21506.05,     21309.85,     21487.70,215.55
NIFTY100 LowVol30,     13383.45,     13466.10,     13508.10,     13399.00,     13493.15,109.7
NIFTY Alpha 50,     33143.20,     33417.90,     33574.30,     33231.85,     33549.35,406.15
NIFTY MIDCAP 150,     11887.30,     11966.30,     11977.40,     11853.40,     11944.30,57
NIFTY SMLCAP 50,      5404.95,      5424.70,      5431.25,      5378.65,      5413.85,8.9
NIFTY SMLCAP 250,      9745.55,      9791.40,      9804.10,      9718.80,      9778.60,33.05
NIFTY MIDSML 400,     11117.05,     11184.20,     11194.65,     11086.45,     11165.50,48.45
NIFTY200 QUALTY30,     15057.55,     15163.35,     15222.15,     15067.25,     15205.25,147.7
Nifty FinSrv25 50,     18793.35,     18884.25,     19005.70,     18788.85,     18992.55,199.2
NIFTY AlphaLowVol,     17481.90,     17602.55,     17646.65,     17503.45,     17630.70,148.8
Nifty200Momentm30,     21132.65,     21322.45,     21432.90,     21166.85,     21404.50,271.85
Nifty100ESGSecLdr,      3029.55,      3048.80,      3076.25,      3031.90,      3073.80,44.25
Nifty IT,     35583.65,     35860.10,     36378.05,     35732.75,     36332.25,748.6
Nifty Next 50,     43710.05,     44024.75,     44265.65,     43877.75,     44242.55,532.5
Nifty Bank,     38560.20,     38707.15,     38822.85,     38467.80,     38733.35,173.15
NIFTY MIDCAP 100,     31782.15,     32018.30,     32048.80,     31666.55,     31925.85,143.7
Nifty 500,     15411.10,     15504.35,     15591.45,     15429.60,     15579.00,167.9
Nifty 100,     18156.80,     18266.75,     18407.45,     18197.90,     18389.50,232.7
Nifty Midcap 50,      8883.45,      8964.95,      8972.95,      8854.10,      8926.55,43.1
Nifty Realty,       535.80,       539.15,       546.55,       533.90,       544.65,8.85
Nifty Infra,      5265.40,      5295.35,      5330.80,      5269.35,      5323.05,57.65
Nifty Energy,     23894.75,     24076.20,     24245.35,     23962.50,     24209.30,314.55
Nifty FMCG,     38542.55,     38743.90,     38997.75,     38587.45,     38912.75,370.2
Nifty MNC,     19421.55,     19533.75,     19585.30,     19453.65,     19544.10,122.55
Nifty Pharma,     13717.80,     13806.60,     13807.50,     13685.15,     13774.65,56.85
Nifty PSE,      4100.70,      4133.95,      4136.35,      4084.10,      4108.55,7.85
Nifty PSU Bank,      2914.45,      2933.20,      2941.70,      2874.90,      2912.00,-2.45
Nifty Serv Sector,     24991.75,     25128.50,     25380.00,     25053.20,     25362.80,371.05
India VIX,16.3525,16.3525,16.3525,14.6450,15.2175,-1.1350
Nifty Auto,     11690.15,     11791.35,     11795.25,     11635.70,     11706.50,16.35
Nifty Metal,      5681.00,      5759.60,      5765.75,      5670.00,      5728.70,47.7
Nifty Media,      2325.90,      2349.80,      2351.30,      2294.45,      2322.95,-2.95
NIFTY SMLCAP 100,     11145.60,     11197.40,     11208.65,     11112.45,     11177.70,32.1
Nifty 200,      9516.40,      9575.80,      9635.95,      9531.30,      9627.70,111.3
Nifty Div Opps 50,      3762.55,      3790.45,      3803.45,      3763.55,      3797.75,35.2
Nifty Commodities,      5886.70,      5941.80,      5946.00,      5878.40,      5927.00,40.3
Nifty Consumption,      7233.10,      7285.00,      7325.10,      7257.30,      7316.85,83.75
Nifty Fin Service,     18772.80,     18855.85,     18996.05,     18764.50,     18976.20,203.4
Nifty50 Div Point,       144.46,       144.46,       144.46,       144.46,       144.46,0
Nifty100 Liq 15,      4574.40,      4608.75,      4622.85,      4571.05,      4614.85,40.45
Nifty CPSE,      2334.65,      2357.45,      2357.75,      2324.95,      2338.90,4.25
Nifty GrowSect 15,      7785.15,      7845.65,      7851.50,      7784.25,      7839.60,54.45
Nifty50 PR 2x Lev,      9448.75,      9557.90,      9711.05,      9482.15,      9690.20,241.45
Nifty50 PR 1x Inv,       248.00,       246.60,       247.55,       244.55,       244.85,-3.15
Nifty50 TR 2x Lev,     12837.15,     12985.35,     13193.50,     12882.50,     13165.15,328
Nifty50 TR 1x Inv,       212.90,       211.65,       212.50,       209.95,       210.20,-2.7
Nifty50 Value 20,      8946.85,      9006.90,      9084.90,      8979.90,      9072.95,126.1
Nifty Mid Liq 15,      7786.05,      7865.40,      7865.40,      7741.90,      7781.20,-4.85
Nifty Pvt Bank,     19800.10,     19881.15,     19938.40,     19771.45,     19890.05,89.95
NIFTY100 Qualty30,      3950.85,      3976.80,      3992.30,      3954.05,      3987.35,36.5
Nifty GS 8 13Yr,      2291.55,      2291.94,      2293.55,      2291.61,      2291.93,.38
Nifty GS 10Yr,      2052.44,      2052.79,      2055.68,      2052.20,      2052.97,.53
Nifty GS 10Yr Cln,       928.10,       928.10,       929.44,       927.83,       928.18,.08
Nifty GS 4 8Yr,      2478.87,      2479.28,      2480.74,      2478.72,      2479.26,.39
Nifty GS 11 15Yr,      2465.80,      2466.25,      2468.90,      2465.02,      2466.99,1.19
Nifty GS 15YrPlus,      2695.44,      2695.96,      2698.95,      2695.96,      2697.89,2.45
Nifty GS Compsite,      2359.73,      2360.14,      2361.84,      2359.89,      2360.55,.82
